County,Sex,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Østfold,male,227000,242600,258100,276300,282500,299000,312300,320000,346600,330500,360200,381300,377200,385200,403100
Østfold,female,128400,140500,151100,162400,171900,183500,192200,195400,205500,209600,228300,247300,254000,263000,276000
Akershus,male,295500,319700,339500,376200,369400,401900,408500,420700,465300,427100,469200,495800,482400,498700,518400
Akershus,female,164300,179200,193500,207200,216700,232100,239700,246000,258400,260500,284100,305700,309900,320500,336500
Oslo,male,292500,310300,334000,379600,361700,403500,409200,445200,494400,414900,461400,478500,463800,489200,500900
Oslo,female,173900,189200,205400,222300,228300,250600,257100,264200,290300,269800,294900,316600,318800,329000,345100
Hedmark,male,203700,219300,231000,248000,260300,274400,282100,291400,308900,301600,329300,352600,350700,360600,378800
Hedmark,female,127600,140100,150600,160200,170400,182100,189800,193100,202000,208400,225800,245000,252300,262000,275600
Oppland,male,205900,221000,233900,250600,260700,280000,286000,300000,325000,309600,337300,360000,357700,368000,384400
Oppland,female,126900,139100,149100,159200,169000,181500,187700,192500,203600,209100,228000,247700,254400,263800,276700
Buskerud,male,247900,265200,281300,307500,312700,335500,342600,355900,407700,358500,391500,419200,416000,428500,449000
Buskerud,female,139200,152800,164000,176100,185700,197600,204600,210700,222700,224300,243900,263600,270200,281500,293500
Vestfold,male,246900,263000,277800,300800,305500,329000,339100,350000,385100,354700,386500,412400,404300,414600,436300
Vestfold,female,132400,145600,157100,168700,177200,193100,200900,205000,216500,215900,235300,255500,259500,269200,281900
Telemark,male,224500,243400,255100,270400,281600,300400,306200,313300,343700,331500,362800,388100,390400,397100,413500
Telemark,female,126100,138600,148600,158400,168400,180400,186700,190300,201000,206300,225400,244900,252900,262000,274600
Aust-Agder,male,228000,247700,258500,271700,279900,302200,313400,321500,357700,345400,376200,400300,405500,405100,430200
Aust-Agder,female,123300,135400,145200,154200,164700,174800,183600,185700,196200,202100,220700,242200,250800,258200,270700
Vest-Agder,male,238100,255400,268100,284700,289900,310400,323900,332000,384400,353900,392300,421400,421500,426100,442700
Vest-Agder,female,123000,136200,145500,155100,164400,177200,184300,192500,205300,203800,224200,243400,250500,258900,272900
Rogaland,male,270600,293900,305400,324900,329100,359500,372900,382900,437000,414100,461300,491400,489100,506900,530600
Rogaland,female,135100,149400,159500,168800,177600,190200,197900,203200,221700,226700,252300,273500,281200,291400,307100
Hordaland,male,244300,264000,277200,294500,304300,327200,342400,354800,397200,370400,405200,432900,432400,445500,468400
Hordaland,female,136400,149400,159700,170100,180200,192500,202100,206400,220600,223700,244600,266000,273600,283600,298200
Sogn og Fjordane,male,218600,235700,248100,268400,273200,288300,297000,304800,329800,319700,351600,376300,380000,391300,412400
Sogn og Fjordane,female,131000,143900,155200,163300,173100,184300,189000,193300,203700,209400,228900,250000,258300,267900,281400
Møre og Romsdal,male,233200,249200,263400,283600,288700,308400,318500,325400,365300,345200,387300,411600,410300,422000,446700
Møre og Romsdal,female,126000,138400,150600,158000,166800,179200,187000,191300,205000,207900,228400,249300,255900,266400,279900
Sør-Trøndelag,male,225600,239800,253100,271100,281400,300200,313800,324900,360600,337900,371400,392600,391400,406600,427400
Sør-Trøndelag,female,137300,149200,158900,169600,180800,191800,200500,205900,217500,223500,242100,261500,268800,278700,292200
Nord-Trøndelag,male,203700,216400,228200,240700,251700,268900,277200,285600,309300,306700,335700,356000,357400,370500,389400
Nord-Trøndelag,female,123400,134700,143800,153000,162700,174100,180900,185000,194400,203500,222200,240500,248600,259800,273100
Nordland,male,205100,223600,232700,247900,258200,273500,279900,286200,311700,308400,336500,362300,364300,377800,399400
Nordland,female,132200,144700,153900,163100,173400,185300,193300,196500,206500,213800,231500,251900,260400,271900,285900
Troms,male,212400,227900,240400,259500,266000,280700,291200,297400,323200,318800,346600,366900,367600,380900,409200
Troms,female,139600,152300,163200,173300,184000,195800,203400,208300,219600,227700,245700,266400,274900,285300,300100
Finnmark,male,196400,211600,221700,233300,249300,258900,266500,272400,290200,297100,322800,345300,348700,363000,382400
Finnmark,female,145300,156900,166500,175500,185100,196700,204600,208400,218600,229200,245300,264800,276100,286400,301300
